"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-01","0.00","0.0","0.0","71","51","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-02","0.00","0.0","0.0","67","42","51"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-03","0.00","0.0","0.0","66","41","49"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-04","0.00","0.0","0.0","66","41","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-05","0.00","0.0","0.0","70","40","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-06","0.00","0.0","0.0","69","40","50"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-07","0.00","0.0","0.0","60","38","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-08","0.00","0.0","0.0","65","33","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-09","0.00","0.0","0.0","71","41","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-10","0.00","0.0","0.0","70","49","51"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-11","0.00","0.0","0.0","67","37","45"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-12","0.00","0.0","0.0","61","37","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-13","0.00","0.0","0.0","66","37","47"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-14","0.00","0.0","0.0","71","39","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-15","0.00","0.0","0.0","76","40","53"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-16","0.00","0.0","0.0","90","42","60"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-17","0.00","0.0","0.0","80","51","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-18","0.00","0.0","0.0","83","48","63"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-19","0.00","0.0","0.0","69","55","65"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-20","0.00","0.0","0.0","75","53","58"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-21","0.00","0.0","0.0","75","44","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-22","0.00","0.0","0.0","75","46","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-23","0.00","0.0","0.0","69","48","49"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-24","0.00","0.0","0.0","67","46","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-25","0.19","0.0","0.0","57","44","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-26","0.00","0.0","0.0","60","40","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-27","0.00","0.0","0.0","60","46","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-28","0.00","0.0","0.0","71","44","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-29","0.00","0.0","0.0","71","51","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-30","0.00","0.0","0.0","68","41","52"
